,business_code,cust_number,clear_date,posting_date,document_create_date,document_create_date.1,due_date,currency,amount,baseline_create_date,cust_payment_terms
35,U001,100036538,2019-03-25,2019-03-14,2019-03-13,2019-03-14,2019-03-29,USD,6819.24,2019-03-14,NAA8
36,U001,200353024,2019-01-14,2019-01-08,2019-01-08,2019-01-08,2019-01-11,USD,25151.65,2019-01-01,NAM2
39,U001,200749782,2020-02-03,2020-01-17,2020-01-17,2020-01-17,2020-02-01,USD,2782.49,2020-01-17,NAA8
40,U001,200739534,2019-05-29,2019-03-22,2019-03-22,2019-03-22,2019-05-26,USD,9095.73,2019-03-22,NAGD
41,U001,200014556,2019-08-26,2019-08-09,2019-08-07,2019-08-09,2019-08-24,USD,105249.66,2019-08-09,NAA8
42,CA02,100034823,2019-01-29,2019-01-18,2019-01-18,2019-01-18,2019-01-31,CAD,2087.55,2019-01-21,CA10
43,U001,200965912,2019-08-26,2019-08-09,2019-08-10,2019-08-09,2019-08-24,USD,80130.85,2019-08-09,NAC6
44,CA02,140104429,2019-12-05,2019-11-19,2019-11-19,2019-11-19,2019-12-02,CAD,99756.05,2019-11-22,CA10
45,U001,200749225,2019-10-02,2019-09-17,2019-09-16,2019-09-17,2019-10-02,USD,11801.25,2019-09-17,NAA8
46,U001,200705742,2019-02-25,2019-01-23,2019-01-24,2019-01-23,2019-02-26,USD,8667.03,2019-01-23,NAAW
47,CA02,140105847,2019-06-10,2019-05-30,2019-05-30,2019-05-30,2019-06-10,CAD,31255.65,2019-05-31,CA10
49,U001,200777735,2019-03-04,2019-02-18,2019-02-18,2019-02-18,2019-03-05,USD,161401.75,2019-02-18,NAA8
50,U001,200630112,2020-02-24,2020-02-12,2020-02-05,2020-02-12,2020-02-22,USD,6147.8,2020-02-12,NA10
51,CA02,140104409,2019-08-30,2019-08-10,2019-08-10,2019-08-10,2019-08-20,CAD,286928.54,2019-08-10,CA10
52,U001,200186937,2019-02-11,2019-01-24,2019-01-24,2019-01-24,2019-02-08,USD,4887.18,2019-01-24,NAA8
54,U001,200769623,2019-08-01,2019-07-22,2019-07-20,2019-07-22,2019-08-06,USD,42926.0,2019-07-22,NAH4
55,U001,200704858,2019-01-22,2019-01-03,2019-01-02,2019-01-03,2019-01-18,USD,40493.36,2019-01-03,NAA8
56,CA02,140105686,2019-09-24,2019-09-04,2019-09-04,2019-09-04,2019-09-17,CAD,38158.13,2019-09-07,CA10
57,U001,200735226,2019-04-01,2019-03-19,2019-03-16,2019-03-19,2019-04-03,USD,44693.85,2019-03-19,NAA8
58,CA02,100009983,2019-11-06,2019-10-25,2019-10-25,2019-10-25,2019-11-04,CAD,20085.76,2019-10-25,CA10
59,U001,100031704,2019-05-28,2019-05-12,2019-05-12,2019-05-12,2019-05-27,USD,108949.42,2019-05-12,NAA8
60,U001,200769623,2019-03-08,2019-02-20,2019-02-19,2019-02-20,2019-03-07,USD,16423.09,2019-02-20,NAH4
61,U001,100016691,2019-07-17,2019-06-06,2019-06-06,2019-06-06,2019-07-06,USD,15088.0,2019-06-06,NAD5
64,U001,200726979,2019-03-01,2019-02-14,2019-02-14,2019-02-14,2019-03-01,USD,209.28,2019-02-14,NAA8
65,U001,200769623,2019-12-19,2019-12-09,2019-12-08,2019-12-09,2019-12-24,USD,25257.07,2019-12-09,NAH4
67,U001,200750051,2019-04-15,2019-03-29,2019-03-29,2019-03-29,2019-04-13,USD,71422.95,2019-03-29,NAA8
68,U001,200762301,2019-05-02,2019-04-17,2019-04-17,2019-04-17,2019-05-02,USD,33059.8,2019-04-17,NAC6
70,U001,200797452,2020-02-18,2020-02-02,2020-02-02,2020-02-02,2020-02-17,USD,6269.54,2020-02-02,NAA8
71,U001,200762301,2019-06-21,2019-06-06,2019-06-07,2019-06-06,2019-06-21,USD,72874.91,2019-06-06,NAC6
72,U001,200769623,2019-07-01,2019-06-20,2019-06-18,2019-06-20,2019-07-05,USD,15353.15,2019-06-20,NAH4
73,U001,200764795,2020-01-22,2020-01-02,2020-01-03,2020-01-02,2020-01-17,USD,1037.53,2020-01-02,NAA8
74,U001,200707822,2019-01-22,2019-01-06,2019-01-06,2019-01-06,2019-01-21,USD,63184.67,2019-01-06,NAA8
75,U001,200900909,2019-02-13,2019-01-28,2019-01-26,2019-01-28,2019-02-12,USD,31526.98,2019-01-28,NAA8
76,U001,200592182,2019-09-03,2019-08-19,2019-08-19,2019-08-19,2019-09-08,USD,6900.85,2019-08-16,NAM4
77,U001,100031704,2019-12-10,2019-11-22,2019-11-22,2019-11-22,2019-12-07,USD,42166.16,2019-11-22,NAA8
78,U001,200705742,2019-02-19,2019-02-04,2019-02-05,2019-02-04,2019-03-08,USD,13369.12,2019-02-04,NA32
79,U001,200769623,2020-02-03,2020-01-21,2020-01-21,2020-01-21,2020-02-05,USD,5126.33,2020-01-21,NAH4
80,U001,CCCA02,2019-05-03,2019-03-09,2019-03-09,2019-03-09,2019-04-13,USD,14223.6,2019-03-09,NAG2
81,U001,200704858,2019-04-09,2019-03-25,2019-03-24,2019-03-25,2019-05-29,USD,19896.04,2019-03-25,NAGD
82,U001,200493614,2019-11-12,2019-10-19,2019-10-16,2019-10-19,2019-11-03,USD,11760.0,2019-10-19,NAA8
83,U001,200769623,2019-02-05,2019-01-23,2019-01-23,2019-01-23,2019-02-07,USD,45624.54,2019-01-23,NAH4
84,U001,200769623,2019-07-08,2019-06-26,2019-06-25,2019-06-26,2019-07-11,USD,14642.96,2019-06-26,NAH4
85,U001,200357714,2019-04-01,2019-03-11,2019-03-11,2019-03-11,2019-03-31,USD,14067.74,2019-03-11,NAD1
86,U001,200909198,2019-10-08,2019-09-19,2019-09-19,2019-09-19,2019-10-21,USD,3430.0,2019-09-19,NA32
87,U001,200729828,2020-02-19,2020-01-30,2020-01-27,2020-01-30,2020-02-19,USD,24647.94,2020-01-30,NAD1
88,U001,200769623,2019-09-17,2019-09-07,2019-09-07,2019-09-07,2019-09-22,USD,11517.34,2019-09-07,NAH4
89,U001,200792734,2019-07-26,2019-07-10,2019-07-10,2019-07-10,2019-07-25,USD,13585.95,2019-07-10,NAA8
90,U001,100031704,2019-03-04,2019-02-16,2019-02-15,2019-02-16,2019-03-03,USD,108260.3,2019-02-16,NAA8
92,U001,200769623,2019-03-13,2019-03-03,2019-03-02,2019-03-03,2019-03-18,USD,17086.94,2019-03-03,NAH4
93,U001,200936373,2019-11-29,2019-11-14,2019-11-12,2019-11-14,2019-11-29,USD,15259.86,2019-11-14,NAA8
94,U001,200712187,2019-10-09,2019-09-24,2019-09-24,2019-09-24,2019-10-09,USD,179321.96,2019-09-24,NAA8
95,U001,200769623,2019-11-29,2019-11-18,2019-11-18,2019-11-18,2019-12-03,USD,56473.27,2019-11-18,NAH4
96,U001,200760428,2019-02-15,2019-01-30,2019-01-25,2019-01-30,2019-02-14,USD,34347.1,2019-01-30,NAA8
97,U001,200769623,2019-04-01,2019-03-15,2019-03-13,2019-03-15,2019-03-30,USD,122.57,2019-03-15,NAH4
98,U001,200744019,2019-05-24,2019-05-10,2019-05-09,2019-05-10,2019-05-25,USD,53443.13,2019-05-10,NAA8
99,U001,200762301,2019-06-04,2019-05-18,2019-05-18,2019-05-18,2019-06-02,USD,136469.52,2019-05-18,NAC6
100,U001,200769623,2019-12-04,2019-11-24,2019-11-24,2019-11-24,2019-12-09,USD,471.56,2019-11-24,NAH4
101,U001,200722444,2019-06-04,2019-05-20,2019-05-17,2019-05-20,2019-06-04,USD,47677.75,2019-05-20,NAA8
102,U001,200078245,2019-11-08,2019-10-23,2019-10-23,2019-10-23,2019-11-07,USD,27661.73,2019-10-23,NAA8
104,U001,200761734,2019-03-19,2019-03-05,2019-03-04,2019-03-05,2019-03-20,USD,7787.1,2019-03-05,NAA8
106,CA02,140104440,2019-08-21,2019-08-07,2019-08-07,2019-08-07,2019-08-17,CAD,3659.04,2019-08-07,CA10
108,U001,200219770,2019-03-04,2019-02-15,2019-02-12,2019-02-15,2019-03-02,USD,21147.89,2019-02-15,NAA8
110,U001,200769623,2019-12-10,2019-11-21,2019-11-18,2019-11-21,2019-12-06,USD,12404.3,2019-11-21,NAH4
111,U001,200769623,2019-05-08,2019-04-24,2019-04-24,2019-04-24,2019-05-09,USD,4950.14,2019-04-24,NAH4
112,U001,200705742,2019-05-20,2019-05-03,2019-05-03,2019-05-03,2019-06-06,USD,18567.41,2019-05-03,NAAW
113,U001,200769623,2019-03-22,2019-03-12,2019-03-11,2019-03-12,2019-03-27,USD,16776.65,2019-03-12,NAH4
114,U001,200152991,2019-09-03,2019-08-12,2019-08-12,2019-08-12,2019-08-27,USD,517.53,2019-08-12,NAA8
116,U001,200744019,2019-03-11,2019-02-20,2019-02-19,2019-02-20,2019-03-07,USD,37120.51,2019-02-20,NAA8
117,U001,200769623,2019-04-30,2019-04-20,2019-04-19,2019-04-20,2019-05-05,USD,9787.22,2019-04-20,NAH4
118,U001,200759082,2019-07-12,2019-06-26,2019-06-26,2019-06-26,2019-07-11,USD,86669.85,2019-06-26,NAA8
119,U001,200769623,2019-06-03,2019-05-17,2019-05-16,2019-05-17,2019-06-01,USD,6711.66,2019-05-17,NAH4
120,CA02,CCU001,2019-11-27,2019-10-23,2019-10-23,2019-10-23,2019-11-28,CAD,28983.48,2019-10-24,NAG2
121,U001,100049079,2019-11-18,2019-10-28,2019-10-23,2019-10-28,2019-11-12,USD,5086.56,2019-10-28,NAA8
122,U001,200707741,2019-11-12,2019-10-19,2019-10-19,2019-10-19,2019-11-03,USD,154845.78,2019-10-19,NAA8
124,U001,200418007,2019-09-18,2019-09-03,2019-08-31,2019-09-03,2019-09-18,USD,133.35,2019-09-03,NAA8
125,U001,200782001,2019-12-24,2019-12-06,2019-12-02,2019-12-06,2020-01-07,USD,10547.28,2019-12-06,NA32
126,U001,200020431,2019-08-26,2019-08-22,2019-08-22,2019-08-22,2019-08-23,USD,42089.44,2019-08-16,NAM1
127,U001,200769623,2019-08-20,2019-08-09,2019-08-08,2019-08-09,2019-08-24,USD,71759.81,2019-08-09,NAH4
128,U001,200780383,2019-08-29,2019-08-13,2019-08-13,2019-08-13,2019-08-28,USD,45840.91,2019-08-13,NAA8
129,U001,200920735,2019-03-22,2019-03-07,2019-03-07,2019-03-07,2019-03-22,USD,120677.19,2019-03-07,NAA8
130,U001,200416837,2019-07-22,2019-07-19,2019-07-19,2019-07-19,2019-07-26,USD,7992.08,2019-07-16,NAM2
131,U001,200729942,2019-05-21,2019-05-09,2019-05-08,2019-05-09,2019-05-24,USD,16360.32,2019-05-09,NAA8
133,U001,100031704,2019-12-12,2019-11-25,2019-11-23,2019-11-25,2019-12-10,USD,12917.98,2019-11-25,NAA8
134,U001,200769623,2019-02-27,2019-02-17,2019-02-15,2019-02-17,2019-03-04,USD,3785.4,2019-02-17,NAH4
136,U001,200353024,2019-09-16,2019-09-06,2019-09-06,2019-09-06,2019-09-24,USD,2625.06,2019-09-01,NAM4
137,U001,200705089,2019-09-12,2019-08-28,2019-08-28,2019-08-28,2019-09-12,USD,10584.26,2019-08-28,NAA8
139,U001,200799538,2020-02-04,2020-01-18,2020-01-18,2020-01-18,2020-02-02,USD,86708.03,2020-01-18,NAA8
140,U001,200769623,2019-09-20,2019-09-09,2019-09-07,2019-09-09,2019-09-24,USD,22700.56,2019-09-09,NAH4
141,U001,200769623,2019-03-14,2019-02-24,2019-02-23,2019-02-24,2019-03-11,USD,10257.08,2019-02-24,NAH4
142,U001,200769623,2019-02-19,2019-02-08,2019-02-07,2019-02-08,2019-02-23,USD,15196.54,2019-02-08,NAH4
143,CA02,140104249,2019-12-18,2019-12-18,2019-12-18,2019-12-18,2019-11-04,CAD,101.39,2019-10-25,CA10
145,U001,200769623,2019-09-30,2019-09-17,2019-09-18,2019-09-17,2019-10-02,USD,629.67,2019-09-17,NAH4
146,CA02,140104423,2019-07-08,2019-06-25,2019-06-25,2019-06-25,2019-07-07,CAD,183654.82,2019-06-27,CA10
149,U001,200772670,2019-04-29,2019-04-11,2019-04-12,2019-04-11,2019-04-26,USD,4838.03,2019-04-11,NAU5
150,U001,200769623,2019-12-17,2019-12-06,2019-12-05,2019-12-06,2019-12-21,USD,45961.99,2019-12-06,NAH4
151,U001,200769623,2020-02-18,2020-02-05,2020-02-03,2020-02-05,2020-02-20,USD,15773.85,2020-02-05,NAH4
152,U001,200900212,2019-10-16,2019-10-11,2019-10-11,2019-10-11,2019-10-26,USD,23756.28,2019-10-11,NAA8
153,U001,200769623,2019-05-28,2019-05-16,2019-05-10,2019-05-16,2019-05-31,USD,15726.92,2019-05-16,NAH4
154,U001,200756072,2019-06-05,2019-05-21,2019-05-20,2019-05-21,2019-06-05,USD,30845.77,2019-05-21,NAA8
156,U001,200726979,2019-09-18,2019-09-03,2019-09-04,2019-09-03,2019-09-18,USD,305.78,2019-09-03,NAA8
158,U001,200152991,2019-10-04,2019-09-19,2019-09-19,2019-09-19,2019-10-04,USD,17561.73,2019-09-19,NAA8
159,U001,200769623,2020-01-13,2020-01-01,2019-12-31,2020-01-01,2020-01-16,USD,2783.94,2020-01-01,NAH4
161,U001,200020431,2019-02-13,2019-02-08,2019-02-08,2019-02-08,2019-02-11,USD,17805.71,2019-02-01,NAM2
164,U001,200781831,2019-01-25,2019-01-10,2019-01-07,2019-01-10,2019-01-25,USD,3670.54,2019-01-10,NAA8
165,U001,200769623,2019-03-19,2019-03-09,2019-03-08,2019-03-09,2019-03-24,USD,56718.45,2019-03-09,NAH4
166,U001,200732755,2019-10-07,2019-09-22,2019-09-21,2019-09-22,2019-10-07,USD,30424.61,2019-09-22,NAA8
169,U001,CCCA02,2019-11-27,2019-11-01,2019-10-30,2019-11-01,2019-12-06,USD,51645.0,2019-11-01,NAG2
170,U001,CCCA02,2019-08-02,2019-06-22,2019-06-19,2019-06-22,2019-07-27,USD,32663.28,2019-06-22,NAG2
171,U001,200769623,2019-03-15,2019-03-03,2019-03-03,2019-03-03,2019-03-18,USD,57748.35,2019-03-03,NAH4
172,U001,200772595,2020-02-18,2020-01-31,2020-01-29,2020-01-31,2020-02-15,USD,130305.01,2020-01-31,NAA8
173,U013,100053542,2019-12-09,2019-11-15,2019-11-11,2019-11-15,2019-11-30,USD,555.36,2019-11-15,NAVD
175,U001,200772670,2019-10-04,2019-09-20,2019-09-20,2019-09-20,2019-10-05,USD,20930.07,2019-09-20,NAU5
176,U001,200769623,2019-12-30,2019-12-18,2019-12-17,2019-12-18,2020-01-02,USD,36370.4,2019-12-18,NAH4
177,CA02,140104223,2020-01-17,2019-12-30,2019-12-30,2019-12-30,2020-01-17,CAD,28629.51,2020-01-07,CA10
179,CA02,140104429,2019-11-18,2019-11-06,2019-11-06,2019-11-06,2019-11-19,CAD,11006.92,2019-11-09,CA10
180,U001,200705742,2019-04-08,2019-03-07,2019-03-07,2019-03-07,2019-04-08,USD,30086.43,2019-03-07,NA32
181,U001,200705742,2019-06-06,2019-05-17,2019-05-17,2019-05-17,2019-06-18,USD,17581.03,2019-05-17,NA32
182,U001,200769623,2020-01-21,2020-01-10,2020-01-09,2020-01-10,2020-01-25,USD,1118.71,2020-01-10,NAH4
183,U001,200769623,2019-05-30,2019-05-14,2019-05-13,2019-05-14,2019-05-29,USD,639.26,2019-05-14,NAH4
186,U001,200353024,2020-01-27,2020-01-24,2020-01-24,2020-01-24,2020-01-23,USD,10450.54,2020-01-16,NAM1
187,U001,200820380,2019-05-10,2019-04-25,2019-04-25,2019-04-25,2019-05-10,USD,2040.56,2019-04-25,NAA8
188,U001,200747369,2019-11-19,2019-11-04,2019-11-04,2019-11-04,2019-11-19,USD,22914.45,2019-11-04,NAA8
189,U001,200769623,2019-12-27,2019-12-15,2019-12-15,2019-12-15,2019-12-30,USD,35460.1,2019-12-15,NAH4
190,U001,200936373,2020-01-29,2020-01-12,2020-01-12,2020-01-12,2020-01-27,USD,22940.34,2020-01-12,NAA8
192,U001,200772670,2019-04-15,2019-03-31,2019-03-31,2019-03-31,2019-04-15,USD,2335.69,2019-03-31,NAU5
193,U001,200769623,2019-12-17,2019-12-05,2019-12-05,2019-12-05,2019-12-20,USD,16200.06,2019-12-05,NAH4
194,CA02,140104429,2019-12-09,2019-11-15,2019-11-15,2019-11-15,2019-12-03,CAD,91589.53,2019-11-23,CA10
195,U001,200769623,2019-03-22,2019-03-09,2019-03-09,2019-03-09,2019-03-24,USD,34832.99,2019-03-09,NAH4
196,U001,100026809,2019-05-24,2019-05-18,2019-05-16,2019-05-18,2019-05-28,USD,24955.0,2019-05-18,NA10
197,U001,200769623,2020-01-21,2020-01-10,2020-01-10,2020-01-10,2020-01-25,USD,106.63,2020-01-10,NAH4
198,U001,200744019,2019-06-14,2019-05-29,2019-05-28,2019-05-29,2019-06-13,USD,10451.12,2019-05-29,NAA8
199,U001,200769623,2019-05-20,2019-05-04,2019-05-03,2019-05-04,2019-05-19,USD,919.28,2019-05-04,NAH4
200,U001,200704858,2019-05-15,2019-04-29,2019-04-27,2019-04-29,2019-05-14,USD,30197.83,2019-04-29,NAA8
201,U001,200782001,2019-03-20,2019-03-07,2019-03-08,2019-03-07,2019-03-22,USD,47388.53,2019-03-07,NAA8
204,U001,200744019,2019-12-17,2019-12-01,2019-11-30,2019-12-01,2019-12-16,USD,23652.31,2019-12-01,NAA8
206,U001,200711029,2019-06-03,2019-05-17,2019-05-18,2019-05-17,2019-06-01,USD,61890.71,2019-05-17,NAA8
207,U001,200965912,2019-07-08,2019-06-20,2019-06-20,2019-06-20,2019-07-05,USD,74504.75,2019-06-20,NAC6
208,U001,200706844,2019-03-29,2019-03-14,2019-03-13,2019-03-14,2019-03-29,USD,9704.74,2019-03-14,NAA8
209,U001,CCCA02,2019-06-28,2019-05-25,2019-05-23,2019-05-25,2019-06-29,USD,80499.65,2019-05-25,NAG2
211,U001,200769623,2019-03-04,2019-02-20,2019-02-20,2019-02-20,2019-03-07,USD,1118.71,2019-02-20,NAH4
212,U001,200729828,2019-10-30,2019-10-14,2019-10-13,2019-10-14,2019-10-29,USD,55737.13,2019-10-14,NAA8
213,U001,200726979,2019-06-05,2019-05-21,2019-05-20,2019-05-21,2019-06-05,USD,496.72,2019-05-21,NAA8
215,U001,200580232,2019-06-12,2019-06-05,2019-06-06,2019-06-05,2019-06-15,USD,29250.0,2019-06-05,NA10
216,U001,200782001,2019-05-14,2019-04-29,2019-04-29,2019-04-29,2019-05-14,USD,21701.06,2019-04-29,NAA8
217,U001,200714710,2019-10-28,2019-10-09,2019-10-10,2019-10-09,2019-10-24,USD,13008.33,2019-10-09,NAA8
218,U001,200705089,2019-05-14,2019-04-29,2019-04-26,2019-04-29,2019-05-14,USD,43374.55,2019-04-29,NAA8
219,U001,200769623,2019-09-17,2019-09-05,2019-09-06,2019-09-05,2019-09-20,USD,12198.29,2019-09-05,NAH4
220,U001,200776463,2019-12-30,2019-12-13,2019-12-13,2019-12-13,2019-12-28,USD,459.98,2019-12-13,NAA8
221,U001,200749225,2019-02-01,2019-01-17,2019-01-15,2019-01-17,2019-02-01,USD,43041.46,2019-01-17,NAA8
222,CA02,140106408,2019-12-10,2019-11-16,2019-11-16,2019-11-16,2019-11-26,CAD,778.05,2019-11-16,CA10
223,U001,200705742,2020-03-06,2020-02-20,2020-02-19,2020-02-20,2020-03-25,USD,50954.68,2020-02-20,NAAW
224,U001,200706844,2019-12-27,2019-12-12,2019-12-11,2019-12-12,2019-12-27,USD,4306.99,2019-12-12,NAA8
226,U001,200769623,2019-09-04,2019-08-22,2019-08-22,2019-08-22,2019-09-06,USD,35410.29,2019-08-22,NAH4
227,U001,200126819,2019-12-23,2019-12-06,2019-12-06,2019-12-06,2019-12-21,USD,15706.27,2019-12-06,NAA8
228,U001,200705742,2019-12-30,2019-12-13,2019-12-13,2019-12-13,2020-01-16,USD,33266.04,2019-12-13,NAAW
229,U001,200230690,2019-10-01,2019-09-20,2019-09-20,2019-09-20,2019-10-09,USD,24.72,2019-09-16,NAM4
230,U001,100035877,2019-02-12,2019-01-25,2019-01-22,2019-01-25,2019-02-09,USD,6443.25,2019-01-25,NAA8
231,U001,200769623,2019-09-18,2019-09-07,2019-09-07,2019-09-07,2019-09-22,USD,41154.52,2019-09-07,NAH4
232,U001,200772670,2019-07-05,2019-06-20,2019-06-21,2019-06-20,2019-07-05,USD,20072.26,2019-06-20,NAU5
233,U001,200744019,2019-04-01,2019-03-13,2019-03-12,2019-03-13,2019-03-28,USD,5018.54,2019-03-13,NAA8
234,U001,200707822,2019-10-22,2019-10-07,2019-10-07,2019-10-07,2019-10-22,USD,102390.0,2019-10-07,NAA8
236,U001,200769623,2019-03-18,2019-02-27,2019-02-26,2019-02-27,2019-03-14,USD,47237.09,2019-02-27,NAH4
237,U001,100036039,2019-11-13,2019-10-03,2019-10-03,2019-10-03,2019-11-12,USD,741.52,2019-10-03,NAWU
238,U001,200769623,2019-12-27,2019-12-17,2019-12-16,2019-12-17,2020-01-01,USD,11337.84,2019-12-17,NAH4
239,U001,200759878,2019-04-22,2019-02-14,2019-02-13,2019-02-14,2019-04-20,USD,8510.42,2019-02-14,NAGD
240,U001,200769623,2019-12-16,2019-12-02,2019-11-30,2019-12-02,2019-12-17,USD,47901.04,2019-12-02,NAH4
241,U001,200772670,2019-09-12,2019-08-30,2019-08-30,2019-08-30,2019-09-14,USD,57922.53,2019-08-30,NAU5
243,U001,200076137,2019-03-12,2019-02-26,2019-02-25,2019-02-26,2019-03-13,USD,7286.0,2019-02-26,NAA8
244,U001,100043892,2019-02-11,2019-01-26,2019-01-30,2019-01-26,2019-02-10,USD,16417.78,2019-01-26,NAA8
245,U001,200207008,2019-11-08,2019-11-05,2019-11-05,2019-11-05,2019-11-15,USD,22256.8,2019-11-05,NA10
246,U001,200769623,2019-04-11,2019-04-01,2019-03-30,2019-04-01,2019-04-16,USD,1741.27,2019-04-01,NAH4
247,U001,200769623,2019-11-12,2019-10-27,2019-10-26,2019-10-27,2019-11-11,USD,27475.84,2019-10-27,NAH4
248,U001,200711029,2019-05-23,2019-05-08,2019-05-08,2019-05-08,2019-05-23,USD,46437.52,2019-05-08,NAA8
250,U001,100031483,2019-11-25,2019-10-31,2019-10-28,2019-10-31,2019-11-20,USD,2300.1,2019-10-31,NAD1
252,U001,200418007,2019-10-03,2019-09-18,2019-09-17,2019-09-18,2019-10-03,USD,212308.92,2019-09-18,NAA8
253,CA02,140105847,2019-07-15,2019-07-03,2019-07-04,2019-07-03,2019-07-14,CAD,65452.83,2019-07-04,CA10
254,U001,200592182,2019-06-12,2019-06-06,2019-06-06,2019-06-06,2019-06-11,USD,7723.69,2019-06-01,NAM2
255,U001,200755701,2019-04-26,2019-04-10,2019-04-09,2019-04-10,2019-04-25,USD,80345.57,2019-04-10,NAA8
256,U001,200705742,2019-04-03,2019-03-02,2019-03-01,2019-03-02,2019-04-05,USD,16316.07,2019-03-02,NAAW
257,U001,200148860,2019-09-24,2019-09-08,2019-09-06,2019-09-08,2019-09-23,USD,15683.59,2019-09-08,NAA8
258,U001,100031704,2019-11-13,2019-10-24,2019-10-24,2019-10-24,2019-11-08,USD,51505.68,2019-10-24,NAA8
259,U001,200346918,2019-09-05,2019-08-25,2019-08-25,2019-08-25,2019-09-04,USD,52212.6,2019-08-25,NA10
260,U001,200729290,2019-09-03,2019-08-17,2019-08-16,2019-08-17,2019-09-01,USD,17081.82,2019-08-17,NAA8
261,U001,200772595,2019-10-07,2019-09-21,2019-09-22,2019-09-21,2019-10-06,USD,1299.8,2019-09-21,NAA8
262,U001,200424504,2019-10-16,2019-09-13,2019-09-12,2019-09-13,2019-10-15,USD,5452.27,2019-10-15,NATV
263,U001,200772595,2019-05-28,2019-05-10,2019-05-08,2019-05-10,2019-05-25,USD,1402.12,2019-05-10,NAA8
264,U001,200739941,2019-02-04,2019-01-22,2019-01-24,2019-01-22,2019-02-06,USD,13294.13,2019-01-22,NAA8
